token,weight,category
# === Osoby (Politycy) ===
Tusk,2.0,person
Kaczyński,2.0,person
Hołownia,1.8,person
Bosak,1.8,person
Kosiniak-Kamysz,1.8,person
Czarnek,1.8,person
Budka,1.5,person
Sienkiewicz,1.5,person
Fogiel,1.5,person
Morawiecki,1.8,person
Duda,1.8,person
Trzaskowski,1.7,person
Ziobro,1.9,person
Szydło,1.6,person
Schetyna,1.5,person
Kidawa-Błońska,1.5,person
Mentzen,1.6,person

# === Partie polityczne ===
PiS,1.8,party
Prawo i Sprawiedliwość,1.8,party
PO,1.8,party
Platforma Obywatelska,1.8,party
Koalicja Obywatelska,1.7,party
Lewica,1.5,party
PSL,1.5,party
Konfederacja,1.7,party
Trzecia Droga,1.6,party
opozycja,1.6,party
koalicja,1.5,party
rząd,1.6,party

# === Emocje i konflikty ===
skandal,2.2,emotion
afera,2.2,emotion
korupcja,2.0,emotion
kradzież,1.9,emotion
kłamstwo,2.0,emotion
oszustwo,1.9,emotion
manipulacja,1.8,emotion
kłamca,2.1,emotion
złodziej,2.1,emotion
zdrajca,2.0,emotion
wstyd,1.7,emotion
hańba,1.8,emotion
kompromitacja,1.9,emotion
dramat,1.6,emotion
katastrofa,1.7,emotion
tragedia,1.6,emotion
absurd,1.7,emotion
szok,1.7,emotion
oburzenie,1.6,emotion
protest,1.5,emotion
kryzys,1.7,emotion

# === Oskarżenia i ataki ===
oskarżam,2.0,accusation
obwiniam,1.8,accusation
zarzucam,1.8,accusation
prokuratura,1.7,accusation
śledztwo,1.8,accusation
postępowanie,1.5,accusation
zarzuty,1.8,accusation
odpowiedzialność,1.4,accusation
winny,1.7,accusation
przestępstwo,1.9,accusation
łamie prawo,1.9,accusation
nielegalnie,1.8,accusation

# === Tematy gorące ===
budżet,1.6,topic
deficyt,1.5,topic
dług,1.5,topic
podatki,1.6,topic
inflacja,1.7,topic
drożyzna,1.6,topic
bezrobocie,1.5,topic
emerytury,1.5,topic
500+,1.4,topic
TVP,1.8,topic
media,1.5,topic
sądy,1.7,topic
Trybunał Konstytucyjny,1.7,topic
praworządność,1.7,topic
demokracja,1.5,topic
Unia Europejska,1.6,topic
UE,1.6,topic
fundusze,1.6,topic
KPO,1.7,topic
NATO,1.5,topic
Ukraina,1.7,topic
Rosja,1.7,topic
Putin,1.8,topic
Białoruś,1.5,topic
Łukaszenka,1.6,topic
migracja,1.6,topic
uchodźcy,1.5,topic
granica,1.6,topic
służba zdrowia,1.5,topic
NFZ,1.4,topic
szpitale,1.4,topic
lekarze,1.3,topic
edukacja,1.4,topic
nauczyciele,1.4,topic
strajk,1.7,topic
Pegasus,2.0,topic
inwigilacja,1.8,topic
podsłuchy,1.8,topic

# === Pytania retoryczne i zaczepki ===
pytam pana,1.5,question
pytam panią,1.5,question
odpowiedz,1.6,question
dlaczego,1.4,question
jak pan śmie,1.9,question
jak pani śmie,1.9,question
wyjaśnij,1.5,question
tłumacz się,1.7,question
gdzie,1.3,question
kiedy,1.3,question

# === Procedury (PENALTY - formalne, nudne) ===
dziękuję,-2.0,formality
podziękowanie,-1.8,formality
regulamin,-2.5,formality
pani marszałek,-1.5,formality
panie marszałku,-1.5,formality
wysoka izbo,-2.0,formality
szanowni państwo,-1.7,formality
proszę o głos,-1.5,formality
głosowanie,-1.2,formality
porządek obrad,-2.0,formality
interpelacja,-1.3,formality
zapytanie poselskie,-1.5,formality
poprawka,-1.2,formality
punkt porządku,-2.0,formality
protokół,-2.0,formality
zatwierdzam,-1.5,formality

# === Konkretne dane i liczby (boost) ===
milion,1.3,data
miliard,1.4,data
procent,1.2,data
wzrost,1.2,data
spadek,1.2,data
rekord,1.4,data
najwyższy,1.3,data
najniższy,1.3,data

# === Humor i viralowe momenty ===
śmiech,1.6,humor
oklaski,1.4,humor
buczenie,1.7,humor
gwizdy,1.6,humor
żart,1.5,humor
ironia,1.6,humor
sarkazm,1.7,humor

# === Przerywanie i reakcje ===
przerwa,1.5,interruption
cisza,1.6,interruption
uciszam,1.7,interruption
przerwę,1.6,interruption
wycofuję,1.5,interruption
sprzeciw,1.6,interruption
nie zgadzam się,1.5,interruption
protest,1.6,interruption

# === Wulgaryzmy / Mocne słowa ===
kretyn,2.0,strong
idiota,2.1,strong
głupiec,1.9,strong
debil,2.1,strong
łajdak,2.0,strong
łotr,1.9,strong
bandzior,1.9,strong

# === Konferencje prasowe i eventy ===
konferencja,1.6,event
konferencja prasowa,1.8,event
briefing,1.7,event
oświadczenie,1.6,event
komunikat,1.4,event
wystąpienie,1.5,event
przemówienie,1.5,event
pytania dziennikarzy,1.7,event
pytanie dziennikarza,1.6,event
odpowiedź na pytanie,1.4,event
sala konferencyjna,1.3,event
na żywo,1.5,event
transmisja,1.4,event
relacja,1.3,event

# === Spotkania i negocjacje ===
spotkanie,1.5,meeting
szczyt,1.7,meeting
rozmowy,1.5,meeting
negocjacje,1.7,meeting
konsultacje,1.4,meeting
narada,1.4,meeting
posiedzenie,1.3,meeting
zebranie,1.2,meeting
debata,1.7,meeting
dyskusja,1.5,meeting
panel,1.4,meeting
forum,1.5,meeting
kongres,1.6,meeting
konwencja,1.7,meeting
zjazd,1.6,meeting

# === Wydarzenia publiczne ===
wiec,1.7,public_event
manifestacja,1.8,public_event
protest,1.7,public_event
demonstracja,1.7,public_event
marsz,1.6,public_event
zgromadzenie,1.5,public_event
pikieta,1.6,public_event
blokada,1.7,public_event
strajk,1.8,public_event
akcja protestacyjna,1.7,public_event

# === Wywiady i media ===
wywiad,1.6,media
rozmowa,1.4,media
studio,1.4,media
redakcja,1.3,media
dziennikarz,1.4,media
reporter,1.3,media
korespondent,1.3,media
telewizja,1.4,media
radio,1.3,media
prasa,1.3,media
portal,1.3,media
social media,1.4,media
Twitter,1.5,media
Facebook,1.4,media
Instagram,1.4,media
YouTube,1.4,media
TikTok,1.5,media

# === Deklaracje i zapowiedzi ===
zapowiadam,1.6,declaration
ogłaszam,1.7,declaration
deklaruję,1.6,declaration
obiecuję,1.5,declaration
gwarantuję,1.6,declaration
zapewniam,1.5,declaration
potwierdzam,1.4,declaration
zaprzeczam,1.6,declaration
dementi,1.7,declaration
sprostowanie,1.6,declaration
oficjalnie,1.5,declaration
publicznie,1.5,declaration

# === Reakcje i komentarze ===
komentarz,1.5,reaction
reakcja,1.6,reaction
odpowiedź,1.4,reaction
stanowisko,1.5,reaction
opinia,1.4,reaction
ocena,1.4,reaction
krytyka,1.6,reaction
krytykuję,1.7,reaction
popieram,1.4,reaction
sprzeciwiam się,1.6,reaction
odrzucam,1.6,reaction
akceptuję,1.3,reaction
zgadzam się,1.3,reaction

# === Terminy i decyzje ===
termin,1.4,timing
deadline,1.5,timing
pilne,1.6,timing
natychmiast,1.7,timing
dziś,1.5,timing
jutro,1.4,timing
wczoraj,1.4,timing
dzisiaj,1.4,timing
teraz,1.5,timing
moment,1.3,timing
czas,1.3,timing
decyzja,1.6,decision
postanowienie,1.5,decision
uchwała,1.4,decision
wyrok,1.7,decision
orzeczenie,1.6,decision
werdykt,1.7,decision
rozstrzygnięcie,1.6,decision

# === Polityka międzynarodowa ===
Bruksela,1.6,international
Komisja Europejska,1.6,international
Parlament Europejski,1.5,international
szczyt UE,1.7,international
Waszyngton,1.5,international
Biały Dom,1.6,international
Kreml,1.7,international
Berlin,1.4,international
Paryż,1.4,international
Londyn,1.4,international
Kijów,1.7,international
Mińsk,1.5,international
Biden,1.6,international
Trump,1.7,international
Zełenski,1.8,international
sankcje,1.7,international
embargo,1.6,international
traktat,1.5,international
porozumienie,1.5,international
pakt,1.5,international
umowa,1.5,international
sojusz,1.5,international
konflikt,1.7,international
wojna,1.8,international
pokój,1.5,international
zawieszenie broni,1.7,international
